plant,col,red,nir,ndvi,population,date,day,vwc1,vwc2
1,37,11.1,62.4,0.698,b,6/14/2017,13,10.4675,22.77
1,38,14,60.8,0.626,b,6/14/2017,13,10.4675,22.77
1,39,11.5,60.5,0.681,b,6/14/2017,13,10.4675,22.77
1,40,13.2,67.1,0.671,b,6/14/2017,13,10.4675,22.77
1,41,13.8,66.6,0.657,b,6/14/2017,13,10.4675,22.77
1,42,12.2,64.8,0.683,b,6/14/2017,13,10.4675,22.77
1,43,10.9,64.8,0.712,b,6/14/2017,13,10.4675,22.77
1,44,10.1,61.8,0.719,b,6/14/2017,13,10.4675,22.77
1,45,14.2,67.2,0.651,b,6/14/2017,13,10.4675,22.77
1,46,11.5,65,0.699,b,6/14/2017,13,10.4675,22.77
1,47,13,62,0.653,b,6/14/2017,13,10.4675,22.77
1,48,13.8,62.6,0.639,b,6/14/2017,13,10.4675,22.77
1,49,12.8,63.2,0.663,b,6/14/2017,13,10.4675,22.77
1,50,13.8,71.6,0.677,b,6/14/2017,13,10.4675,22.77
1,51,14.2,64.5,0.639,b,6/14/2017,13,10.4675,22.77
1,52,11.1,65.4,0.71,b,6/14/2017,13,10.4675,22.77
1,53,13,69,0.683,b,6/14/2017,13,10.4675,22.77
1,54,10.9,63.9,0.709,b,6/14/2017,13,10.4675,22.77
1,55,10.9,67.8,0.723,b,6/14/2017,13,10.4675,22.77
1,56,12.2,65,0.684,b,6/14/2017,13,10.4675,22.77
1,57,12.8,66.9,0.679,b,6/14/2017,13,10.4675,22.77
1,58,13.6,64.5,0.652,b,6/14/2017,13,10.4675,22.77
1,59,13.2,65.3,0.664,b,6/14/2017,13,10.4675,22.77
2,1,15.1,65.3,0.624,b,6/14/2017,13,10.4675,22.77
2,2,13.2,63.6,0.656,b,6/14/2017,13,10.4675,22.77
2,3,14.2,66,0.646,b,6/14/2017,13,10.4675,22.77
2,4,13.2,62.4,0.651,b,6/14/2017,13,10.4675,22.77
2,5,14.6,63.6,0.627,b,6/14/2017,13,10.4675,22.77
2,6,12.4,64.2,0.676,b,6/14/2017,13,10.4675,22.77
2,7,13.8,62.6,0.639,b,6/14/2017,13,10.4675,22.77
2,8,13.2,62.7,0.652,b,6/14/2017,13,10.4675,22.77
2,9,14.4,63.6,0.631,b,6/14/2017,13,10.4675,22.77
2,10,13.2,63,0.654,b,6/14/2017,13,10.4675,22.77
2,11,12.2,66,0.688,b,6/14/2017,13,10.4675,22.77
2,12,14,66.8,0.653,b,6/14/2017,13,10.4675,22.77
2,13,11.1,66,0.712,b,6/14/2017,13,10.4675,22.77
2,14,16.9,64.1,0.583,b,6/14/2017,13,10.4675,22.77
2,15,17.3,63.8,0.573,b,6/14/2017,13,10.4675,22.77
2,16,14.6,65,0.633,b,6/14/2017,13,10.4675,22.77
2,17,16.1,63.5,0.595,b,6/14/2017,13,10.4675,22.77
2,18,15.5,62.9,0.605,b,6/14/2017,13,10.4675,22.77
2,19,17.5,67.1,0.586,b,6/14/2017,13,10.4675,22.77
2,20,16.5,62.6,0.583,b,6/14/2017,13,10.4675,22.77
2,21,15.5,62.7,0.604,b,6/14/2017,13,10.4675,22.77
2,22,15.1,60.5,0.601,b,6/14/2017,13,10.4675,22.77
2,23,12.8,62.3,0.659,b,6/14/2017,13,10.4675,22.77
2,24,15.1,59.7,0.596,b,6/14/2017,13,10.4675,22.77
2,25,14,59.2,0.617,b,6/14/2017,13,10.4675,22.77
2,26,12.8,61.2,0.654,b,6/14/2017,13,10.4675,22.77
2,27,14.6,61.8,0.618,b,6/14/2017,13,10.4675,22.77
2,28,13.2,66,0.667,b,6/14/2017,13,10.4675,22.77
2,29,13,66.9,0.675,b,6/14/2017,13,10.4675,22.77
2,30,12.8,68.3,0.684,b,6/14/2017,13,10.4675,22.77
2,31,14.4,61.2,0.619,b,6/14/2017,13,10.4675,22.77
2,32,14.4,64.5,0.635,b,6/14/2017,13,10.4675,22.77
2,33,14,63.9,0.641,b,6/14/2017,13,10.4675,22.77
2,34,15.1,66.6,0.63,b,6/14/2017,13,10.4675,22.77
2,35,14.4,63.6,0.631,b,6/14/2017,13,10.4675,22.77
2,36,16.9,62,0.572,b,6/14/2017,13,10.4675,22.77
2,37,14.4,65.3,0.639,b,6/14/2017,13,10.4675,22.77
2,38,15,64.1,0.621,b,6/14/2017,13,10.4675,22.77
2,39,14,64.1,0.641,b,6/14/2017,13,10.4675,22.77
2,40,14.8,64.7,0.628,b,6/14/2017,13,10.4675,22.77
2,41,13.6,67.4,0.664,b,6/14/2017,13,10.4675,22.77
2,42,13.6,63.9,0.649,b,6/14/2017,13,10.4675,22.77
2,43,12.8,66.6,0.678,b,6/14/2017,13,10.4675,22.77
2,44,15.3,64.7,0.617,b,6/14/2017,13,10.4675,22.77
2,45,14.2,62.4,0.629,b,6/14/2017,13,10.4675,22.77
2,46,14,67.2,0.655,b,6/14/2017,13,10.4675,22.77
2,47,12.4,67.2,0.688,b,6/14/2017,13,10.4675,22.77
2,48,13.8,69.5,0.669,b,6/14/2017,13,10.4675,22.77
2,49,12.8,72.2,0.699,b,6/14/2017,13,10.4675,22.77
2,50,15.5,70.8,0.641,b,6/14/2017,13,10.4675,22.77
2,51,15.5,66.9,0.624,b,6/14/2017,13,10.4675,22.77
2,52,13.8,68.4,0.664,b,6/14/2017,13,10.4675,22.77
2,53,15.9,68.1,0.621,b,6/14/2017,13,10.4675,22.77
2,54,14.4,71,0.663,b,6/14/2017,13,10.4675,22.77
2,55,17.1,68.1,0.599,b,6/14/2017,13,10.4675,22.77
2,56,14.6,69.6,0.653,b,6/14/2017,13,10.4675,22.77
2,57,14.8,67.5,0.64,b,6/14/2017,13,10.4675,22.77
2,58,17.3,64.4,0.576,b,6/14/2017,13,10.4675,22.77
2,59,14,67.2,0.655,b,6/14/2017,13,10.4675,22.77
3,1,14.8,61.1,0.61,b,6/14/2017,13,10.4675,22.77
3,2,12.6,62.3,0.664,b,6/14/2017,13,10.4675,22.77
3,3,14.4,54.4,0.581,b,6/14/2017,13,10.4675,22.77
3,4,14.6,59.7,0.607,b,6/14/2017,13,10.4675,22.77
3,5,14,58.3,0.613,b,6/14/2017,13,10.4675,22.77
3,6,13.8,56.8,0.609,b,6/14/2017,13,10.4675,22.77
3,7,13.4,58.5,0.627,b,6/14/2017,13,10.4675,22.77
3,8,15,60.3,0.602,b,6/14/2017,13,10.4675,22.77
3,9,13.2,61.2,0.645,b,6/14/2017,13,10.4675,22.77
3,10,13,58.3,0.635,b,6/14/2017,13,10.4675,22.77
3,11,14.6,58.2,0.599,b,6/14/2017,13,10.4675,22.77
3,12,13.6,54.7,0.602,b,6/14/2017,13,10.4675,22.77
3,13,13.6,52.8,0.59,b,6/14/2017,13,10.4675,22.77
3,14,15,62.1,0.611,b,6/14/2017,13,10.4675,22.77
3,15,15.9,52.3,0.534,b,6/14/2017,13,10.4675,22.77
3,16,13,55.2,0.619,b,6/14/2017,13,10.4675,22.77
3,17,15.7,62.3,0.597,b,6/14/2017,13,10.4675,22.77
3,18,13.6,59.7,0.629,b,6/14/2017,13,10.4675,22.77
3,19,13.4,55.9,0.613,b,6/14/2017,13,10.4675,22.77
3,20,12.4,60.6,0.66,b,6/14/2017,13,10.4675,22.77
3,21,14.6,60.9,0.613,b,6/14/2017,13,10.4675,22.77
3,22,13.8,57,0.61,b,6/14/2017,13,10.4675,22.77
3,23,13,54.1,0.613,b,6/14/2017,13,10.4675,22.77
3,24,13,53.2,0.607,b,6/14/2017,13,10.4675,22.77
3,25,13.2,59.5,0.637,b,6/14/2017,13,10.4675,22.77
3,26,12.2,60.6,0.665,b,6/14/2017,13,10.4675,22.77
3,27,11.7,64.5,0.693,b,6/14/2017,13,10.4675,22.77
3,28,13,53.4,0.608,b,6/14/2017,13,10.4675,22.77
3,29,13.4,56.4,0.616,b,6/14/2017,13,10.4675,22.77
3,30,15.9,57.9,0.569,b,6/14/2017,13,10.4675,22.77
3,31,12.4,60,0.657,b,6/14/2017,13,10.4675,22.77
3,32,14,65,0.646,b,6/14/2017,13,10.4675,22.77
3,33,15.1,60.6,0.601,b,6/14/2017,13,10.4675,22.77
3,34,14,59.1,0.617,b,6/14/2017,13,10.4675,22.77
3,35,12.6,65.3,0.677,b,6/14/2017,13,10.4675,22.77
3,36,13.8,64.7,0.648,b,6/14/2017,13,10.4675,22.77
3,37,16.3,61.2,0.579,b,6/14/2017,13,10.4675,22.77
3,38,15.5,62.7,0.604,b,6/14/2017,13,10.4675,22.77
3,39,13.8,62.7,0.639,b,6/14/2017,13,10.4675,22.77
3,40,14.6,64.1,0.629,b,6/14/2017,13,10.4675,22.77
3,41,14.8,59.2,0.6,b,6/14/2017,13,10.4675,22.77
3,42,15,69.2,0.644,b,6/14/2017,13,10.4675,22.77
3,43,15.3,61.7,0.603,b,6/14/2017,13,10.4675,22.77
3,44,13.4,58,0.625,b,6/14/2017,13,10.4675,22.77
3,45,14.4,61.2,0.619,b,6/14/2017,13,10.4675,22.77
3,46,15,64.2,0.621,b,6/14/2017,13,10.4675,22.77
3,47,14,56.2,0.601,b,6/14/2017,13,10.4675,22.77
3,48,14.4,61.8,0.622,b,6/14/2017,13,10.4675,22.77
3,49,14.6,63.6,0.627,b,6/14/2017,13,10.4675,22.77
3,50,17.3,64.7,0.578,b,6/14/2017,13,10.4675,22.77
3,51,14.6,51.4,0.558,b,6/14/2017,13,10.4675,22.77
3,52,13.6,59.8,0.629,b,6/14/2017,13,10.4675,22.77
3,53,16.5,60,0.569,b,6/14/2017,13,10.4675,22.77
3,54,14.8,51.6,0.554,b,6/14/2017,13,10.4675,22.77
3,55,16.7,51.6,0.511,b,6/14/2017,13,10.4675,22.77
3,56,15.1,62.4,0.61,b,6/14/2017,13,10.4675,22.77
3,57,16.3,59.5,0.57,b,6/14/2017,13,10.4675,22.77
3,58,14,64.4,0.643,b,6/14/2017,13,10.4675,22.77
3,59,16.9,60.5,0.563,b,6/14/2017,13,10.4675,22.77
4,1,16.9,57.7,0.547,b,6/14/2017,13,10.4675,22.77
4,2,15.1,56.7,0.579,b,6/14/2017,13,10.4675,22.77
4,3,15.9,60.6,0.584,b,6/14/2017,13,10.4675,22.77
4,4,17.7,60.3,0.546,b,6/14/2017,13,10.4675,22.77
4,5,15.7,60.8,0.59,b,6/14/2017,13,10.4675,22.77
4,6,16.9,58.5,0.552,b,6/14/2017,13,10.4675,22.77
4,7,17.7,51,0.485,b,6/14/2017,13,10.4675,22.77
4,8,16.1,52.2,0.529,b,6/14/2017,13,10.4675,22.77
4,9,15.5,55.8,0.565,b,6/14/2017,13,10.4675,22.77
4,10,16.5,55.6,0.542,b,6/14/2017,13,10.4675,22.77
4,11,16.5,53.4,0.528,b,6/14/2017,13,10.4675,22.77
4,12,16.3,57.7,0.559,b,6/14/2017,13,10.4675,22.77
4,13,16.3,59.4,0.569,b,6/14/2017,13,10.4675,22.77
4,14,14.8,55.8,0.581,b,6/14/2017,13,10.4675,22.77
4,15,15.1,59.7,0.596,b,6/14/2017,13,10.4675,22.77
4,16,18.6,53.5,0.484,b,6/14/2017,13,10.4675,22.77
4,17,15.1,58.8,0.591,b,6/14/2017,13,10.4675,22.77
4,18,16.9,57.3,0.544,b,6/14/2017,13,10.4675,22.77
4,19,15.3,65.3,0.62,b,6/14/2017,13,10.4675,22.77
4,20,14.8,53.1,0.564,b,6/14/2017,13,10.4675,22.77
4,21,14.6,63.9,0.628,b,6/14/2017,13,10.4675,22.77
4,22,17.9,58.9,0.534,b,6/14/2017,13,10.4675,22.77
4,23,14.2,56.4,0.598,b,6/14/2017,13,10.4675,22.77
4,24,15.5,55.3,0.562,b,6/14/2017,13,10.4675,22.77
4,25,15.1,60.6,0.601,b,6/14/2017,13,10.4675,22.77
4,26,13.8,62.1,0.636,b,6/14/2017,13,10.4675,22.77
4,27,13.4,64.2,0.655,b,6/14/2017,13,10.4675,22.77
4,28,14,63.5,0.639,b,6/14/2017,13,10.4675,22.77
4,29,16.1,60.6,0.58,b,6/14/2017,13,10.4675,22.77
4,30,13.8,60.8,0.63,b,6/14/2017,13,10.4675,22.77
4,31,16.7,58.5,0.556,b,6/14/2017,13,10.4675,22.77
4,32,15.7,60.6,0.588,b,6/14/2017,13,10.4675,22.77
4,33,15.9,59.2,0.577,b,6/14/2017,13,10.4675,22.77
4,34,15.5,62.4,0.602,b,6/14/2017,13,10.4675,22.77
4,35,15.5,60.3,0.591,b,6/14/2017,13,10.4675,22.77
4,36,15.5,60.3,0.591,b,6/14/2017,13,10.4675,22.77
4,37,15,61.1,0.606,b,6/14/2017,13,10.4675,22.77
4,38,13.4,58,0.625,b,6/14/2017,13,10.4675,22.77
4,39,15.9,63,0.597,b,6/14/2017,13,10.4675,22.77
4,40,15.7,65,0.611,b,6/14/2017,13,10.4675,22.77
4,41,15.7,61.4,0.593,b,6/14/2017,13,10.4675,22.77
4,42,15.9,61.4,0.589,b,6/14/2017,13,10.4675,22.77
4,43,15.7,64.8,0.61,b,6/14/2017,13,10.4675,22.77
4,44,13.8,61.5,0.633,b,6/14/2017,13,10.4675,22.77
4,45,14.2,63.2,0.633,b,6/14/2017,13,10.4675,22.77
4,46,16.3,64.1,0.595,b,6/14/2017,13,10.4675,22.77
4,47,16.7,64.1,0.587,b,6/14/2017,13,10.4675,22.77
4,48,15.3,67.2,0.629,b,6/14/2017,13,10.4675,22.77
4,49,14.2,66.5,0.648,b,6/14/2017,13,10.4675,22.77
4,50,14.4,64.7,0.636,b,6/14/2017,13,10.4675,22.77
4,51,15.3,62.9,0.609,b,6/14/2017,13,10.4675,22.77
4,52,14.6,57.4,0.594,b,6/14/2017,13,10.4675,22.77
4,53,15,64.5,0.623,b,6/14/2017,13,10.4675,22.77
4,54,15.1,60.3,0.599,b,6/14/2017,13,10.4675,22.77
4,55,15.5,54.6,0.558,b,6/14/2017,13,10.4675,22.77
4,56,15,61.8,0.609,b,6/14/2017,13,10.4675,22.77
4,57,16.9,63.5,0.58,b,6/14/2017,13,10.4675,22.77
4,58,15.9,54,0.545,b,6/14/2017,13,10.4675,22.77
4,59,14.8,61.4,0.612,b,6/14/2017,13,10.4675,22.77
5,1,13,66.6,0.673,b,6/14/2017,13,10.4675,22.77
5,2,12.6,63.8,0.67,b,6/14/2017,13,10.4675,22.77
5,3,15,68,0.639,b,6/14/2017,13,10.4675,22.77
5,4,14.8,65.6,0.632,b,6/14/2017,13,10.4675,22.77
5,5,16.3,64.8,0.598,b,6/14/2017,13,10.4675,22.77
5,6,16.5,63.9,0.59,b,6/14/2017,13,10.4675,22.77
5,7,13,67.4,0.677,b,6/14/2017,13,10.4675,22.77
5,8,15.1,66.9,0.632,b,6/14/2017,13,10.4675,22.77
5,9,15.5,70.1,0.638,b,6/14/2017,13,10.4675,22.77
5,10,13.2,69,0.679,b,6/14/2017,13,10.4675,22.77
5,11,14.6,69,0.651,b,6/14/2017,13,10.4675,22.77
5,12,14.2,70.7,0.665,b,6/14/2017,13,10.4675,22.77
5,13,12.6,67.7,0.686,b,6/14/2017,13,10.4675,22.77
5,14,14.2,67.4,0.652,b,6/14/2017,13,10.4675,22.77
5,15,14,66.8,0.653,b,6/14/2017,13,10.4675,22.77
5,16,15.3,63.8,0.613,b,6/14/2017,13,10.4675,22.77
5,17,13.4,72,0.686,b,6/14/2017,13,10.4675,22.77
5,18,13,67.1,0.675,b,6/14/2017,13,10.4675,22.77
5,19,14.4,66,0.642,b,6/14/2017,13,10.4675,22.77
5,20,13.4,63.5,0.651,b,6/14/2017,13,10.4675,22.77
5,21,15.5,69.5,0.635,b,6/14/2017,13,10.4675,22.77
5,22,14,62.9,0.636,b,6/14/2017,13,10.4675,22.77
5,23,13.8,67.1,0.659,b,6/14/2017,13,10.4675,22.77
5,24,14.4,67.8,0.65,b,6/14/2017,13,10.4675,22.77
5,25,14,68.4,0.66,b,6/14/2017,13,10.4675,22.77
5,26,12.8,69.2,0.688,b,6/14/2017,13,10.4675,22.77
5,27,15.3,69.3,0.638,b,6/14/2017,13,10.4675,22.77
5,28,13.6,69,0.671,b,6/14/2017,13,10.4675,22.77
5,29,15,69.6,0.645,b,6/14/2017,13,10.4675,22.77
5,30,14.4,69,0.655,b,6/14/2017,13,10.4675,22.77
5,31,13.6,65.9,0.658,b,6/14/2017,13,10.4675,22.77
5,32,13.2,70.5,0.685,b,6/14/2017,13,10.4675,22.77
5,33,13.6,67.1,0.663,b,6/14/2017,13,10.4675,22.77
5,34,16.1,63.8,0.597,b,6/14/2017,13,10.4675,22.77
5,35,15.3,66.9,0.628,b,6/14/2017,13,10.4675,22.77
5,36,15.7,63.8,0.605,b,6/14/2017,13,10.4675,22.77
5,37,14.6,69.3,0.652,b,6/14/2017,13,10.4675,22.77
5,38,14.4,67.4,0.648,b,6/14/2017,13,10.4675,22.77
5,39,14.4,68.7,0.653,b,6/14/2017,13,10.4675,22.77
5,40,15.9,65.4,0.609,b,6/14/2017,13,10.4675,22.77
5,41,13.8,68.7,0.665,b,6/14/2017,13,10.4675,22.77
5,42,14,68.1,0.659,b,6/14/2017,13,10.4675,22.77
5,43,14,65.7,0.649,b,6/14/2017,13,10.4675,22.77
5,44,14.8,72,0.659,b,6/14/2017,13,10.4675,22.77
5,45,13.4,65,0.658,b,6/14/2017,13,10.4675,22.77
5,46,15,66.5,0.632,b,6/14/2017,13,10.4675,22.77
5,47,14.6,65.6,0.636,b,6/14/2017,13,10.4675,22.77
5,48,15.3,69.8,0.64,b,6/14/2017,13,10.4675,22.77
5,49,13.8,70.4,0.672,b,6/14/2017,13,10.4675,22.77
5,50,14.8,69,0.647,b,6/14/2017,13,10.4675,22.77
5,51,13.4,68.3,0.672,b,6/14/2017,13,10.4675,22.77
5,52,14.6,69.5,0.653,b,6/14/2017,13,10.4675,22.77
5,53,17.7,66.2,0.578,b,6/14/2017,13,10.4675,22.77
5,54,14.8,68.3,0.644,b,6/14/2017,13,10.4675,22.77
5,55,13.6,64.5,0.652,b,6/14/2017,13,10.4675,22.77
5,56,14.8,64.2,0.625,b,6/14/2017,13,10.4675,22.77
5,57,13.2,68,0.675,b,6/14/2017,13,10.4675,22.77
5,58,14,63.6,0.639,b,6/14/2017,13,10.4675,22.77
5,59,14.4,66.3,0.643,b,6/14/2017,13,10.4675,22.77
6,1,12.8,62.9,0.662,b,6/14/2017,13,10.4675,22.77
6,2,12.8,60.6,0.651,b,6/14/2017,13,10.4675,22.77
6,3,12,61.1,0.672,b,6/14/2017,13,10.4675,22.77
6,4,10.7,69.6,0.733,A15-674,6/14/2017,13,10.4675,22.77
6,5,11.5,65,0.699,A15-674,6/14/2017,13,10.4675,22.77
6,6,11.5,62.9,0.691,A15-311,6/14/2017,13,10.4675,22.77
6,7,11.8,63.9,0.688,A15-311,6/14/2017,13,10.4675,22.77
6,8,12,66,0.692,A15-682,6/14/2017,13,10.4675,22.77
6,9,11.3,65,0.704,A15-682,6/14/2017,13,10.4675,22.77
6,10,11.1,64.2,0.705,A15-506,6/14/2017,13,10.4675,22.77
6,11,10.9,68.1,0.724,A15-506,6/14/2017,13,10.4675,22.77
6,12,12.4,65.9,0.683,A15-511,6/14/2017,13,10.4675,22.77
6,13,11.1,65.1,0.709,A15-511,6/14/2017,13,10.4675,22.77
6,14,12.6,68.4,0.689,A15-516,6/14/2017,13,10.4675,22.77
6,15,13.2,69.9,0.682,A15-516,6/14/2017,13,10.4675,22.77
6,16,12.8,68.1,0.684,A15-668,6/14/2017,13,10.4675,22.77
6,17,15,68.7,0.642,A15-668,6/14/2017,13,10.4675,22.77
6,18,11.8,66.3,0.698,A15-490,6/14/2017,13,10.4675,22.77
6,19,13.8,68.4,0.664,A15-490,6/14/2017,13,10.4675,22.77
6,20,12.2,66.5,0.69,A14-307,6/14/2017,13,10.4675,22.77
6,21,13.2,66.8,0.67,A14-307,6/14/2017,13,10.4675,22.77
6,22,12.8,63.8,0.666,A15-515,6/14/2017,13,10.4675,22.77
6,23,12.8,63.9,0.666,A15-515,6/14/2017,13,10.4675,22.77
6,24,15.5,66.6,0.622,A15-467,6/14/2017,13,10.4675,22.77
6,25,13.8,67.7,0.661,A15-467,6/14/2017,13,10.4675,22.77
6,26,13.6,66.5,0.66,A15-316,6/14/2017,13,10.4675,22.77
6,27,12.8,69.8,0.69,A15-316,6/14/2017,13,10.4675,22.77
6,28,11.8,68.7,0.707,A15-304,6/14/2017,13,10.4675,22.77
6,29,12.2,63.5,0.678,A15-304,6/14/2017,13,10.4675,22.77
6,30,14,68.7,0.661,A15-341,6/14/2017,13,10.4675,22.77
6,31,13.4,68.3,0.672,A15-341,6/14/2017,13,10.4675,22.77
6,32,11.8,66.5,0.699,A15-436,6/14/2017,13,10.4675,22.77
6,33,16.1,61.7,0.586,A15-436,6/14/2017,13,10.4675,22.77
6,34,17.1,65.4,0.585,A15-463,6/14/2017,13,10.4675,22.77
6,35,14.4,66,0.642,A15-463,6/14/2017,13,10.4675,22.77
6,36,12.4,66.9,0.687,A15-708,6/14/2017,13,10.4675,22.77
6,37,12.8,65.7,0.674,A15-708,6/14/2017,13,10.4675,22.77
6,38,12,69.2,0.704,A15-711,6/14/2017,13,10.4675,22.77
6,39,15.3,68.4,0.634,A15-711,6/14/2017,13,10.4675,22.77
6,40,12,66.8,0.695,A14-298,6/14/2017,13,10.4675,22.77
6,41,15.3,70.4,0.643,A14-298,6/14/2017,13,10.4675,22.77
6,42,12.6,70.4,0.696,A15-451,6/14/2017,13,10.4675,22.77
6,43,12.4,69.2,0.696,A15-451,6/14/2017,13,10.4675,22.77
6,44,13.6,71,0.678,A15-519,6/14/2017,13,10.4675,22.77
6,45,11.5,68.4,0.712,A15-519,6/14/2017,13,10.4675,22.77
6,46,12.2,67.2,0.693,A15-461,6/14/2017,13,10.4675,22.77
6,47,14.8,68.4,0.644,A15-461,6/14/2017,13,10.4675,22.77
6,48,12,69.2,0.704,A15-509,6/14/2017,13,10.4675,22.77
6,49,12.6,70.7,0.697,A15-669,6/14/2017,13,10.4675,22.77
6,50,13.2,68.4,0.676,A15-677,6/14/2017,13,10.4675,22.77
6,51,12.4,69.3,0.696,A15-489,6/14/2017,13,10.4675,22.77
6,52,12.6,63.5,0.669,A15-505,6/14/2017,13,10.4675,22.77
6,53,13,69.5,0.685,A15-725,6/14/2017,13,10.4675,22.77
6,54,13.4,66.8,0.666,A15-675,6/14/2017,13,10.4675,22.77
6,55,16.7,65,0.591,A14-302,6/14/2017,13,10.4675,22.77
6,56,15.3,61.8,0.603,A15-513,6/14/2017,13,10.4675,22.77
6,57,15.9,68.4,0.623,b,6/14/2017,13,10.4675,22.77
6,58,13,68.4,0.681,b,6/14/2017,13,10.4675,22.77
6,59,12.4,66.6,0.686,b,6/14/2017,13,10.4675,22.77
7,1,12.4,59.8,0.657,b,6/14/2017,13,10.4675,22.77
7,2,12.8,60.3,0.65,b,6/14/2017,13,10.4675,22.77
7,3,12,60.2,0.668,b,6/14/2017,13,10.4675,22.77
7,4,12.2,59.2,0.658,A15-674,6/14/2017,13,10.4675,22.77
7,5,14.2,59.7,0.616,A15-674,6/14/2017,13,10.4675,22.77
7,6,12,64.7,0.687,A15-311,6/14/2017,13,10.4675,22.77
7,7,11.7,62.7,0.685,A15-311,6/14/2017,13,10.4675,22.77
7,8,12.4,60.2,0.658,A15-682,6/14/2017,13,10.4675,22.77
7,9,10.7,64.2,0.714,A15-682,6/14/2017,13,10.4675,22.77
7,10,9.9,66.5,0.741,A15-506,6/14/2017,13,10.4675,22.77
7,11,13.6,56.8,0.614,A15-506,6/14/2017,13,10.4675,22.77
7,12,10.5,61.8,0.71,A15-511,6/14/2017,13,10.4675,22.77
7,13,12.4,58.9,0.652,A15-511,6/14/2017,13,10.4675,22.77
7,14,11.3,62,0.692,A15-516,6/14/2017,13,10.4675,22.77
7,15,13,59.8,0.643,A15-516,6/14/2017,13,10.4675,22.77
7,16,14.4,55.6,0.589,A15-668,6/14/2017,13,10.4675,22.77
7,17,13.8,53.7,0.591,A15-668,6/14/2017,13,10.4675,22.77
7,18,12,62.3,0.677,A15-490,6/14/2017,13,10.4675,22.77
7,19,13,51.4,0.596,A15-490,6/14/2017,13,10.4675,22.77
7,20,11.3,60.8,0.687,A14-307,6/14/2017,13,10.4675,22.77
7,21,12,56.2,0.648,A14-307,6/14/2017,13,10.4675,22.77
7,22,12.4,53.2,0.622,A15-515,6/14/2017,13,10.4675,22.77
7,23,13.8,55.3,0.601,A15-515,6/14/2017,13,10.4675,22.77
7,24,15.1,56.2,0.576,A15-467,6/14/2017,13,10.4675,22.77
7,25,13.8,57,0.61,A15-467,6/14/2017,13,10.4675,22.77
7,26,15.7,55.2,0.557,A15-316,6/14/2017,13,10.4675,22.77
7,27,13.2,60.5,0.642,A15-316,6/14/2017,13,10.4675,22.77
7,28,16.1,57,0.56,A15-304,6/14/2017,13,10.4675,22.77
7,29,14.8,51.9,0.556,A15-304,6/14/2017,13,10.4675,22.77
7,30,12.6,59.1,0.649,A15-341,6/14/2017,13,10.4675,22.77
7,31,11.8,61.5,0.678,A15-341,6/14/2017,13,10.4675,22.77
7,32,11.8,57.3,0.658,A15-436,6/14/2017,13,10.4675,22.77
